Surname,First_Name,Age,Occupation,Profile_URL
Adam,Auguste,20,Peintre en voitures,https://communards-1871.fr/index.php?page=fiches/notice&individu=33852&liste=liste_nominative_A
Adam,Camille,31,Gainier,https://communards-1871.fr/index.php?page=fiches/notice&individu=21049&liste=liste_nominative_A
Adam,Céleste Clair,36,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=3393&liste=liste_nominative_A
Adam,Eléonore Toussaint,,Ouvrier bijoutier,https://communards-1871.fr/index.php?page=fiches/notice&individu=23730&liste=liste_nominative_A
Adam,Eugène,36,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=34820&liste=liste_nominative_A
Adam,Exupère Eugène François,27,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=4171&liste=liste_nominative_A
Adam,Ferdinand,20,Bijoutier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2384&liste=liste_nominative_A
Adam,François,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41756&liste=liste_nominative_A
Adam,Henri,55,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=38942&liste=liste_nominative_A
Adam,Jean Baptiste,29,Cuisinier,https://communards-1871.fr/index.php?page=fiches/notice&individu=25181&liste=liste_nominative_A
Adam,Jean Baptiste Alphonse,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=20103&liste=liste_nominative_A
Adam,Joseph,58,,https://communards-1871.fr/index.php?page=fiches/notice&individu=40599&liste=liste_nominative_A
Adam,Joseph,19,Bijoutier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2385&liste=liste_nominative_A
Adam,Joseph Marie,22,Garçon de restaurant,https://communards-1871.fr/index.php?page=fiches/notice&individu=36472&liste=liste_nominative_A
Adam,Jules Victor,33,Garçon de lavoir,https://communards-1871.fr/index.php?page=fiches/notice&individu=20631&liste=liste_nominative_A
Adam,Louis,24,Sculpteur sur bois,https://communards-1871.fr/index.php?page=fiches/notice&individu=11161&liste=liste_nominative_A
Adam,Louis,53,Chauffeur mécanicien,https://communards-1871.fr/index.php?page=fiches/notice&individu=16157&liste=liste_nominative_A
Adam,Louis,18,Fumiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=2386&liste=liste_nominative_A
Adam,Louis Alexandre,14,Apprenti fumiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=23540&liste=liste_nominative_A
Adam,Louis Jean André,35,Valet de chambre,https://communards-1871.fr/index.php?page=fiches/notice&individu=36408&liste=liste_nominative_A
Adam,Philippe,29,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=42282&liste=liste_nominative_A
Adam,Prosper Gaspard,23,Armurier,https://communards-1871.fr/index.php?page=fiches/notice&individu=24069&liste=liste_nominative_A
Adamy,Amédée,17,Ouvrier nacrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=15736&liste=liste_nominative_A
Adamy,Martin,49,Ouvrier nacrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=18787&liste=liste_nominative_A
Adamy,Pierre,,Nacrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=15737&liste=liste_nominative_A
Adde,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=19490&liste=liste_nominative_A
Adde,Antoine,45,Tailleur d’habits,https://communards-1871.fr/index.php?page=fiches/notice&individu=33148&liste=liste_nominative_A
Ade,Edouard Stanislas,33,Ciseleur,https://communards-1871.fr/index.php?page=fiches/notice&individu=37264&liste=liste_nominative_A
Adée,Louis Jules,31,Vernisseur sur métaux,https://communards-1871.fr/index.php?page=fiches/notice&individu=30637&liste=liste_nominative_A
Adelet,Louis,33,Charcutier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2387&liste=liste_nominative_A
Adeline,Eugène Hippolyte,48,Ingénieur,https://communards-1871.fr/index.php?page=fiches/notice&individu=9005&liste=liste_nominative_A
Adelphe,Nicolas,60,Terrassier,https://communards-1871.fr/index.php?page=fiches/notice&individu=3161&liste=liste_nominative_A
Ademadt,Nicolas,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41749&liste=liste_nominative_A
Aden ou Adin,Jean Baptiste Cyrille,34,Ouvrier en cheveux,https://communards-1871.fr/index.php?page=fiches/notice&individu=510&liste=liste_nominative_A
Adenis,Marien,47,Commissionnaire en propriétés,https://communards-1871.fr/index.php?page=fiches/notice&individu=2388&liste=liste_nominative_A
Adet,Auguste,22,Cultivateur,https://communards-1871.fr/index.php?page=fiches/notice&individu=23967&liste=liste_nominative_A
Adier,Jean Pierre,44,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=19103&liste=liste_nominative_A
Adine,Jules,40,Cocher,https://communards-1871.fr/index.php?page=fiches/notice&individu=10506&liste=liste_nominative_A
Adine,Léon Louis,27,Garçon de café,https://communards-1871.fr/index.php?page=fiches/notice&individu=16158&liste=liste_nominative_A
Adler,Louis,33,Charretier,https://communards-1871.fr/index.php?page=fiches/notice&individu=19302&liste=liste_nominative_A
Adlin,Auguste,23,Tailleur de limes,https://communards-1871.fr/index.php?page=fiches/notice&individu=2391&liste=liste_nominative_A
Admant,Jules Antoine,16,Peintre en bâtiments,https://communards-1871.fr/index.php?page=fiches/notice&individu=25662&liste=liste_nominative_A
Adnet,Pierre Alexandre,49,Marinier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35535&liste=liste_nominative_A
Adnot,Charles,34,Briquetier,https://communards-1871.fr/index.php?page=fiches/notice&individu=732&liste=liste_nominative_A
Adnot,Denis,30,Garçon de magasin,https://communards-1871.fr/index.php?page=fiches/notice&individu=3556&liste=liste_nominative_A
Adnot,Jean Baptiste Louis Ernest,32,Garçon de magasin,https://communards-1871.fr/index.php?page=fiches/notice&individu=2390&liste=liste_nominative_A
Adnot,Jules Urbain,26,Chapelier,https://communards-1871.fr/index.php?page=fiches/notice&individu=16503&liste=liste_nominative_A
Adnot,Philippe Onésime,39,Homme de peine,https://communards-1871.fr/index.php?page=fiches/notice&individu=21859&liste=liste_nominative_A
Adolphe,Achille Ernest,38,Briqueteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=33903&liste=liste_nominative_A
Ador,Marie Auguste,,Garçon de magasin,https://communards-1871.fr/index.php?page=fiches/notice&individu=19182&liste=liste_nominative_A
Adour,Joseph,35,Garçon marchand de vins,https://communards-1871.fr/index.php?page=fiches/notice&individu=33886&liste=liste_nominative_A
Adraste,Nicolas,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41800&liste=liste_nominative_A
Adrian,Auguste,17,Garçon de café,https://communards-1871.fr/index.php?page=fiches/notice&individu=16836&liste=liste_nominative_A
Adrian,Dominique,69,Graveur sur cristaux,https://communards-1871.fr/index.php?page=fiches/notice&individu=34996&liste=liste_nominative_A
Adrian,Gustave Louis,40,Cultivateur,https://communards-1871.fr/index.php?page=fiches/notice&individu=39723&liste=liste_nominative_A
Adriant,Charles,21,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=37954&liste=liste_nominative_A
Adrot,Désiré,28,Manouvrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=33259&liste=liste_nominative_A
Adry,Louis,58,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=32904&liste=liste_nominative_A
Advenant,Louis Lucien Romain Gustave,24,Négociant en vins,https://communards-1871.fr/index.php?page=fiches/notice&individu=1567&liste=liste_nominative_A
Aédo,Pierre,20,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=9810&liste=liste_nominative_A
Aepi,Charles David,45,Ajusteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=2392&liste=liste_nominative_A
Aerschoot,François,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=14046&liste=liste_nominative_A
Affre,Albin Joseph Gabriel,31,Tourneur sur métaux,https://communards-1871.fr/index.php?page=fiches/notice&individu=7717&liste=liste_nominative_A
Afriat,Max,33,Négociant,https://communards-1871.fr/index.php?page=fiches/notice&individu=2393&liste=liste_nominative_A
Agasse,François Elie,37,Ouvrier teinturier,https://communards-1871.fr/index.php?page=fiches/notice&individu=19344&liste=liste_nominative_A
Agasse,Jean François Alfred,31,Carrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=19345&liste=liste_nominative_A
Agassi,Antoine,44,Chaussonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35452&liste=liste_nominative_A
Agassiz,Charles Louis,38,Menuisier en voitures,https://communards-1871.fr/index.php?page=fiches/notice&individu=34296&liste=liste_nominative_A
Age,Louis Joseph,20,Garçon de lavoir,https://communards-1871.fr/index.php?page=fiches/notice&individu=4585&liste=liste_nominative_A
Ageorges,Louis,20,Tailleur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=2394&liste=liste_nominative_A
Agnans,Claude,39,Miroitier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35246&liste=liste_nominative_A
Agnel,Julien Félix Frédéric,47,Ajusteur au chemin de fer d’Orléans,https://communards-1871.fr/index.php?page=fiches/notice&individu=11113&liste=liste_nominative_A
Agnesa,Pierre,17,Fumiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=25337&liste=liste_nominative_A
Agneus,Jean François,38,Commis faiencier,https://communards-1871.fr/index.php?page=fiches/notice&individu=23995&liste=liste_nominative_A
Agnoux,François,19,Vernisseur sur bois,https://communards-1871.fr/index.php?page=fiches/notice&individu=11459&liste=liste_nominative_A
Agnus,Charles,,Employé entrepôt blé et farine,https://communards-1871.fr/index.php?page=fiches/notice&individu=20205&liste=liste_nominative_A
Agnus,Nicolas,41,Cocher,https://communards-1871.fr/index.php?page=fiches/notice&individu=2395&liste=liste_nominative_A
Agon,Pierre Victor Joseph,14,Apprenti verrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=23542&liste=liste_nominative_A
Agosti,Pierre,20,Fumiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=1706&liste=liste_nominative_A
Agostini,Henri Jules Victor,27,Sculpteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=2396&liste=liste_nominative_A
Agoutin,Eugène Alphonse,48,Fabricant de bonneterie,https://communards-1871.fr/index.php?page=fiches/notice&individu=13259&liste=liste_nominative_A
Agoutin,Gustave,20,Bonnetier,https://communards-1871.fr/index.php?page=fiches/notice&individu=11236&liste=liste_nominative_A
Agret,Jean Antoine Isidore,44,Employé au gaz,https://communards-1871.fr/index.php?page=fiches/notice&individu=38962&liste=liste_nominative_A
Agron,Louis Théodore,60,Corroyeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=33543&liste=liste_nominative_A
Aguilhon,"André, dit Henri",33,Voyageur de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=24079&liste=liste_nominative_A
Aguillon,Octave Léopold,18,Sellier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2397&liste=liste_nominative_A
Agutte,Jean,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41888&liste=liste_nominative_A
Ahyerre,Léon Auguste,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=41280&liste=liste_nominative_A
Aignan,Claude,,Miroitier,https://communards-1871.fr/index.php?page=fiches/notice&individu=26961&liste=liste_nominative_A
Aigue,Paul,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=12400&liste=liste_nominative_A
Aiguesparse,Antoine,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=40551&liste=liste_nominative_A
Aillaud,Jean Baptiste Marius,,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=19499&liste=liste_nominative_A
Ailloud,Jean Baptiste,28,Lampiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=42392&liste=liste_nominative_A
Aimé,Laurent,20,Scieur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=32905&liste=liste_nominative_A
Aimé,Louis,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=15011&liste=liste_nominative_A
"Ajame, dit Dumoulin",Louis,36,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=42253&liste=liste_nominative_A
Ajot,Pierre Joseph,39,Homme de peine,https://communards-1871.fr/index.php?page=fiches/notice&individu=3366&liste=liste_nominative_A
Aka,François Victor,34,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=6399&liste=liste_nominative_A
Alabarbe,Adrien,23,Ciseleur,https://communards-1871.fr/index.php?page=fiches/notice&individu=9058&liste=liste_nominative_A
Alabert,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=13052&liste=liste_nominative_A
Alain,Paul Jacques,27,,https://communards-1871.fr/index.php?page=fiches/notice&individu=40631&liste=liste_nominative_A
Alais,Léon,33,Plombier,https://communards-1871.fr/index.php?page=fiches/notice&individu=20682&liste=liste_nominative_A
Alamel,François,32,Bijoutier,https://communards-1871.fr/index.php?page=fiches/notice&individu=15002&liste=liste_nominative_A
Alamone,Louis Napoléon,22,Couvreur garçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=18142&liste=liste_nominative_A
Alar,Martin,29,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=26705&liste=liste_nominative_A
Alard,Alphonse Gabriel,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=10660&liste=liste_nominative_A
Alard,"Antoine, dit Antonin",,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=24279&liste=liste_nominative_A
Alardon,Jean André,38,Employé à l’octroi,https://communards-1871.fr/index.php?page=fiches/notice&individu=9893&liste=liste_nominative_A
Alarmé,Paul,27,Graveur,https://communards-1871.fr/index.php?page=fiches/notice&individu=6400&liste=liste_nominative_A
Alary,Augustin,39,Forgeron,https://communards-1871.fr/index.php?page=fiches/notice&individu=10661&liste=liste_nominative_A
Alary,Ferdinand Louis Etienne,32,Garçon limonadier,https://communards-1871.fr/index.php?page=fiches/notice&individu=21187&liste=liste_nominative_A
Alary,Jean,42,Nourrisseur,https://communards-1871.fr/index.php?page=fiches/notice&individu=6401&liste=liste_nominative_A
Alary,Romain,25,Sculpteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=33302&liste=liste_nominative_A
Alasluquetas,Philippe,,Chapelier,https://communards-1871.fr/index.php?page=fiches/notice&individu=18257&liste=liste_nominative_A
Alasseur,Jean,33,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=21051&liste=liste_nominative_A
Alasseur,Sylvain,29,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=21050&liste=liste_nominative_A
Alateinte,Henri,18,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=37034&liste=liste_nominative_A
Alavaud,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=15004&liste=liste_nominative_A
Alavoine,Alphonse François,45,Ouvrier sculpteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=12475&liste=liste_nominative_A
Alavoine,André,28,Compositeur typographe,https://communards-1871.fr/index.php?page=fiches/notice&individu=14123&liste=liste_nominative_A
Alavoine,Augustin,43,Correcteur d’imprimerie,https://communards-1871.fr/index.php?page=fiches/notice&individu=22729&liste=liste_nominative_A
Alavoine,Charles Joseph,66,Imprimeur typographe,https://communards-1871.fr/index.php?page=fiches/notice&individu=11934&liste=liste_nominative_A
Alban,Pierre Victor,42,Scieur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=1908&liste=liste_nominative_A
Albardit,Jean,48,Vitrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=32647&liste=liste_nominative_A
Albarel,Louis,41,Professeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=31125&liste=liste_nominative_A
Albaret,Achille Emile,32,Mécanicien,https://communards-1871.fr/index.php?page=fiches/notice&individu=674&liste=liste_nominative_A
Albaret,Charles Emile,,Jeune soldat de la classe 1868,https://communards-1871.fr/index.php?page=fiches/notice&individu=24838&liste=liste_nominative_A
Albaret,Jean François Antoine,51,Tourneur tabletier,https://communards-1871.fr/index.php?page=fiches/notice&individu=16606&liste=liste_nominative_A
Albert,Charles,48,Pourvoyeur,https://communards-1871.fr/index.php?page=fiches/notice&individu=30395&liste=liste_nominative_A
Albert,Charles Julien,19,Plâtrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=1566&liste=liste_nominative_A
Albert,Clément,28,Scieur de pierres,https://communards-1871.fr/index.php?page=fiches/notice&individu=6402&liste=liste_nominative_A
Albert,Constant,19,Fumiste,https://communards-1871.fr/index.php?page=fiches/notice&individu=11151&liste=liste_nominative_A
Albert,Ernest Edouard,36,Employé de commerce,https://communards-1871.fr/index.php?page=fiches/notice&individu=15117&liste=liste_nominative_A
Albert,Félix Hippolyte,38,Argenteur,https://communards-1871.fr/index.php?page=fiches/notice&individu=5514&liste=liste_nominative_A
Albert,François,32,Cordonnier,https://communards-1871.fr/index.php?page=fiches/notice&individu=14182&liste=liste_nominative_A
Albert,Hyacinthe Edmond,49,Editeur en librairie,https://communards-1871.fr/index.php?page=fiches/notice&individu=12471&liste=liste_nominative_A
Albert,Jacques Dominique,,Marchand de vins,https://communards-1871.fr/index.php?page=fiches/notice&individu=24410&liste=liste_nominative_A
Albert,Jean Baptiste,54,"Employé, ex instituteur",https://communards-1871.fr/index.php?page=fiches/notice&individu=6403&liste=liste_nominative_A
Albert,Marcelin,33,Employé,https://communards-1871.fr/index.php?page=fiches/notice&individu=12472&liste=liste_nominative_A
Alberti,Jean Baptiste,25,Peintre en bâtiments,https://communards-1871.fr/index.php?page=fiches/notice&individu=33168&liste=liste_nominative_A
Albertin,Pierre Ismaël,44,Employé d’imprimerie,https://communards-1871.fr/index.php?page=fiches/notice&individu=6404&liste=liste_nominative_A
Albertini,André,29,Tailleur d’habits,https://communards-1871.fr/index.php?page=fiches/notice&individu=22651&liste=liste_nominative_A
Albespy,Justin,25,Menuisier,https://communards-1871.fr/index.php?page=fiches/notice&individu=25736&liste=liste_nominative_A
Albin,Ignace,31,Terrassier,https://communards-1871.fr/index.php?page=fiches/notice&individu=35270&liste=liste_nominative_A
Albin,Jules Jean Baptiste,23,Tailleur,https://communards-1871.fr/index.php?page=fiches/notice&individu=31631&liste=liste_nominative_A
Albisser,Fabien Sébastien,36,Tourneur sur métaux,https://communards-1871.fr/index.php?page=fiches/notice&individu=15536&liste=liste_nominative_A
Albouy,Henry,19,Garçon épicier,https://communards-1871.fr/index.php?page=fiches/notice&individu=39713&liste=liste_nominative_A
Albouze,Bernard,25,Garçon marchand de vins,https://communards-1871.fr/index.php?page=fiches/notice&individu=25334&liste=liste_nominative_A
Albrecht,Antoine,30,Brossier,https://communards-1871.fr/index.php?page=fiches/notice&individu=3516&liste=liste_nominative_A
Albrecht,Jacques,46,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=2409&liste=liste_nominative_A
Albrecht,Jean,38,Menuisier,https://communards-1871.fr/index.php?page=fiches/notice&individu=39931&liste=liste_nominative_A
Albrecht,Léon,36,Serrurier,https://communards-1871.fr/index.php?page=fiches/notice&individu=33326&liste=liste_nominative_A
Albustroff,François,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=40051&liste=liste_nominative_A
Alciet,Raymond,31,Comptable,https://communards-1871.fr/index.php?page=fiches/notice&individu=11569&liste=liste_nominative_A
Aldenhoffe,Pierre Joseph,46,Relieur,https://communards-1871.fr/index.php?page=fiches/notice&individu=2355&liste=liste_nominative_A
Aldin,Pierre,26,Garçon nourrisseur,https://communards-1871.fr/index.php?page=fiches/notice&individu=10505&liste=liste_nominative_A
Alein,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=10662&liste=liste_nominative_A
Alely,Antoine,27,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=37400&liste=liste_nominative_A
Aléonard,Charles Désiré,44,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=13179&liste=liste_nominative_A
Aléonard,Jean,26,Maçon,https://communards-1871.fr/index.php?page=fiches/notice&individu=11460&liste=liste_nominative_A
Alépée,Eugène Alfred,25,Garçon dans une maison de tolérance,https://communards-1871.fr/index.php?page=fiches/notice&individu=15003&liste=liste_nominative_A
Alessio,Paul,37,Opticien ouvrier,https://communards-1871.fr/index.php?page=fiches/notice&individu=21560&liste=liste_nominative_A
Alex,Jean Pierre,39,Terrassier,https://communards-1871.fr/index.php?page=fiches/notice&individu=5960&liste=liste_nominative_A
Alex,Pierre,35,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=33773&liste=liste_nominative_A
Alexandre,,,,https://communards-1871.fr/index.php?page=fiches/notice&individu=12470&liste=liste_nominative_A
Alexandre,Auguste Louis,41,Ebéniste,https://communards-1871.fr/index.php?page=fiches/notice&individu=38846&liste=liste_nominative_A
Alexandre,Emile,34,Journalier,https://communards-1871.fr/index.php?page=fiches/notice&individu=32797&liste=liste_nominative_A
Alexandre,Henri Léon,24,Peintre en bâtiments,https://communards-1871.fr/index.php?page=fiches/notice&individu=6405&liste=liste_nominative_A
Alexandre,Jean,20,Forgeron,https://communards-1871.fr/index.php?page=fiches/notice&individu=39252&liste=liste_nominative_A
